,by chance,1 dim,5 dims,10 dims,50 dims
,0.27,0.13,0.07,0.13,
,0.47,0.07,0.20,0.13,
,0.47,0.27,0.27,0.27,
,0.33,0.20,0.27,0.20,
,0.40,0.20,0.20,0.27,
,0.40,0.13,0.20,0.13,
,0.47,0.20,0.13,0.07,
,0.40,0.33,0.33,0.27,
,0.47,0.07,0.20,0.20,
,0.40,0.07,0.27,0.27,
average,,0.17,0.21,0.19,
