p,1M,2M,4M,8M,16M,32M,64M,128M
,76,93,149,263,480,931,1800,3567
,57,92,142,245,468,929,1841,3474
,58,93,150,263,464,918,1787,3542
,60,108,156,259,467,935,1790,3487
,73,102,150,249,478,923,1791,3502
