,by chance,1 dim,10 dims,50 dims,90 dims
,0.50,0.50,0.33,0.08,0.08
,0.42,0.42,0.17,0.08,0.08
,0.33,0.33,0.42,0.25,0.17
,0.33,0.25,0.17,0.08,0.00
,0.33,0.33,0.25,0.33,0.33
,0.42,0.42,0.33,0.42,0.42
,0.33,0.50,0.17,0.17,0.17
,0.25,0.25,0.33,0.17,0.00
,0.25,0.17,0.25,0.25,0.08
,0.25,0.25,0.25,0.25,0.17
average,,0.34,0.27,0.21,0.15
