LOL-1,LOL-10,LOL-50,LOL-100,LOL-500,LAL-1,LAL-10,LAL-50,LAL-100,LAL-500,PCA-1,PCA-10,PCA-50,PCA-100,PCA-500,LR-LDA-1,LR-LDA-10,LR-LDA-50,LR-LDA-100,LR-LDA-500
0.06,0.05,0.045,0.045,0.045,0.06,0.055,0.055,0.075,0.1,0.465,0.49,0.26,0.185,0.095,0.465,0.495,0.49,0.495,0.535
0.04,0.05,0.05,0.05,0.05,0.04,0.07,0.065,0.065,0.075,0.485,0.495,0.25,0.13,0.095,0.485,0.515,0.535,0.535,0.52
0.075,0.06,0.055,0.055,0.055,0.075,0.055,0.065,0.065,0.06,0.43,0.49,0.155,0.12,0.075,0.425,0.505,0.49,0.51,0.48
0.065,0.045,0.045,0.045,0.045,0.065,0.035,0.035,0.05,0.055,0.495,0.485,0.28,0.125,0.065,0.495,0.52,0.51,0.525,0.505
0.07,0.06,0.06,0.06,0.06,0.07,0.06,0.065,0.07,0.075,0.545,0.545,0.23,0.12,0.085,0.545,0.535,0.565,0.535,0.505
0.055,0.05,0.05,0.05,0.045,0.055,0.05,0.05,0.055,0.05,0.485,0.525,0.25,0.15,0.06,0.495,0.495,0.5,0.485,0.465
0.08,0.045,0.045,0.04,0.045,0.08,0.07,0.06,0.055,0.115,0.505,0.49,0.305,0.16,0.075,0.5,0.495,0.5,0.495,0.49
0.06,0.03,0.03,0.03,0.03,0.06,0.045,0.055,0.035,0.08,0.51,0.495,0.245,0.12,0.075,0.515,0.52,0.57,0.565,0.535
0.03,0.025,0.025,0.025,0.025,0.03,0.025,0.035,0.04,0.055,0.43,0.55,0.165,0.1,0.06,0.425,0.49,0.49,0.495,0.49
0.045,0.08,0.08,0.08,0.08,0.045,0.085,0.085,0.075,0.1,0.525,0.49,0.285,0.105,0.085,0.525,0.51,0.555,0.535,0.51
