,by chance,1 dim,5 dims,10 dims,50 dims
,0.47,0.20,0.20,0.20,0.20
,0.47,0.33,0.33,0.33,0.33
,0.47,0.27,0.33,0.33,0.27
,0.47,0.07,0.07,0.07,0.07
,0.33,0.27,0.33,0.27,0.27
,0.47,0.20,0.13,0.13,0.13
,0.47,0.47,0.33,0.33,0.33
,0.33,0.20,0.20,0.20,0.20
,0.40,0.20,0.20,0.20,0.20
,0.27,0.27,0.33,0.27,0.33
average,,0.25,0.25,0.23,0.23
