p,1M,2M,4M,8M,16M,32M,64M,128M
,53,98,140,238,433,844,1633,3215
,52,86,142,247,431,808,1591,3264
,59,101,158,241,429,818,1566,3259
,53,100,137,291,430,812,1555,3223
,55,100,141,246,435,839,1616,3126
