p,1M,2M,4M,8M,16M,32M,64M,128M
,3,4,8,17,32,63,126,253
,3,5,8,17,32,64,127,253
,2,4,9,16,33,64,127,253
,2,5,9,16,32,63,127,254
,3,5,8,17,33,63,126,254
